name,link,size,file_type,entire_folder_path
Revised,https://drive.google.com/file/d/14_rEZW0XqGnSm3Ek1vXYherkmpNICJZG/view?usp=drive_link,N/A,application/vnd.google-apps.folder,
MSA_Vikraysoft(Msgkart)_FTSPL_v2.pdf,https://drive.google.com/file/d/1i_1KQ8je4HjhLEUivN7ouxsxFDg5S4t3/view?usp=drive_link,1351309,application/pdf,Revised
MSA_Vikraysoft(Msgkart)_KBNBFC_v2.pdf,https://drive.google.com/file/d/1P_AY2-zOsKgbxLUug6gNmTFscHQcQ3mu/view?usp=drive_link,1373073,application/pdf,Revised
Seventh Amendment_PayU_KB_FTSPL_signed.pdf,https://drive.google.com/file/d/1X7NcH3Fdwvh3nTv1-yPXwioaF9SwMs4F/view?usp=drive_link,515613,application/pdf,Revised
Dealer Agreement_Kwality Motors_KBNBFC.pdf,https://drive.google.com/file/d/1JgrChDRePmdnKaMNaRKoTYqwTMkWHNyl/view?usp=drive_link,982429,application/pdf,Revised
Business Sourcing Agreement_SDV Consultants_KBNBFC.pdf,https://drive.google.com/file/d/1p_TMwnNzprtaEO9kWOxMf1lUPhowzofw/view?usp=drive_link,2169508,application/pdf,Revised
Business Sourcing Agreement_Arya Enterprises_KBNBFC.pdf,https://drive.google.com/file/d/1OdNFojHF2IZuqEfK_VvouLH-fddVWTJu/view?usp=drive_link,2099446,application/pdf,Revised
Addendum No.5_Qteam Infra_KB.pdf,https://drive.google.com/file/d/1yPflbqwPImCdH1VXF6v4TQo_a6ixWCR3/view?usp=drive_link,252318,application/pdf,Revised
Addendum No.7_Earth Services_KB.pdf,https://drive.google.com/file/d/1zTbtR5_4uBTZIUfafbpMRttPvzsq0D1A/view?usp=drive_link,258517,application/pdf,Revised
Addendum No.7_Earth Services_FTSPL.pdf,https://drive.google.com/file/d/1j0sk1vg9UKhLDBD69mqU1Rsph3nVlcYI/view?usp=drive_link,257813,application/pdf,Revised
MSA_Sarv Associates_FTSPL.pdf,https://drive.google.com/file/d/1owHKoJ-KUHoa7qmSN3bhdbCtogidFlD-/view?usp=drive_link,3491839,application/pdf,Revised
MSA_Sarv Associates_KB.pdf,https://drive.google.com/file/d/1zUPzuAcm40AtXgcZtp5mX7VbtvGoKOHl/view?usp=drive_link,3566684,application/pdf,Revised
DLG Agreement_Meesho_Krazybee.pdf,https://drive.google.com/file/d/1Z8tu-niJtApc2Wtoj60pNGVQgcrjgqB8/view?usp=drive_link,644726,application/pdf,Revised
Digital Lending Agreement_Meesho_Krazybee.pdf,https://drive.google.com/file/d/1r9EjTOOFvunciEPL73MM8PI_2AOx7t7W/view?usp=drive_link,3113339,application/pdf,Revised
DSA Agreement_LAP_Offline_K Saravanan_KBNBFC_Signed..pdf,https://drive.google.com/file/d/1eT4pXgYj27lpNzkwT1Jm3Z5c8qIKRw3Z/view?usp=drive_link,1729805,application/pdf,Revised
Service Agreement_LAP_Valuation_KBNBFC_Valfin Signed.pdf,https://drive.google.com/file/d/1l90t5baxT9dmUXjv1l59u0jKCtz7aW_y/view?usp=drive_link,9992369,application/pdf,Revised
Addendum 5_Unigage_Curejoy_FTSPL_Signed.pdf,https://drive.google.com/file/d/1f2RnbmxUABmEqoY_k1A-VTg9kK0qqVBx/view?usp=drive_link,1965127,application/pdf,Revised
Addendum 6_KBNBFC_Indialends_GC Web Ventures_Signed.pdf,https://drive.google.com/file/d/1sXomMmzmTiDLkD0gDcyO4_cjTfT2mNpW/view?usp=drive_link,286884,application/pdf,Revised
Addendum 8_FTSPL_Indialends_GC Web Ventures_Signed.pdf,https://drive.google.com/file/d/1IxnXQj4CGlDoUfc2aJx2gAuWS3o0-n45/view?usp=drive_link,265858,application/pdf,Revised
Addendum 3_Growtele_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1C1e177sveXVvb4WqBqM_Ar0y0B6eEBDg/view?usp=drive_link,354747,application/pdf,Revised
Addendum 3_Growtele_FTSPL_Signed.pdf,https://drive.google.com/file/d/1PZvwMZVL7My_zHwVieX2dZguHOqg18ho/view?usp=drive_link,357302,application/pdf,Revised
Addendum 6_Onecode_Vistas Technolabs_FTSPL_Signed.pdf,https://drive.google.com/file/d/1DH8Bs50HtRf0XV4UUlIfbzl6SwbA9BGe/view?usp=drive_link,399723,application/pdf,Revised
Master_Agreement_Advertising_FTSPL_Adsplay_Signed_2025-2026.pdf,https://drive.google.com/file/d/14k71BlXGOXQUJT28sEDNEP1jBAv0oPXX/view?usp=drive_link,733042,application/pdf,Revised
Addendum 7_KBNBFC_Indialends_GC Web_Signed.pdf,https://drive.google.com/file/d/13TRqmOhU-cOAuJ6Ueq1XVNC8PRQjVcSK/view?usp=drive_link,354273,application/pdf,Revised
Addendum 9_FTSPL_Indialends_GC WEB_Signed.pdf,https://drive.google.com/file/d/13hLeUU5KEvlM7ULJG46tBBILEwYePI5_/view?usp=drive_link,382880,application/pdf,Revised
MSA_Advertising_FTSPL_Oodle_Signed.pdf,https://drive.google.com/file/d/1fQJUMPYTBDNnHY0Rp4xvG6N3i_qJyqb3/view?usp=drive_link,639304,application/pdf,Revised
Service Agreement_LAP_TSR_Nithesh Kumar Aerram_KBNBFC_Signed..pdf,https://drive.google.com/file/d/11hr01MKIjJRuU21LCminlTHvNVhlZN6v/view?usp=drive_link,1427110,application/pdf,Revised
DPA_(Krazybee_Services_Private_Limited_and_Fi.pdf,https://drive.google.com/file/d/1hzPbrzHwT04BPXZMzLuc6KSKSXFADwtY/view?usp=drive_link,464282,application/pdf,Revised
MSA_Standard_Terrlogic & Finnovation_Signed.pdf,https://drive.google.com/file/d/1s5f1kZe16oafmMhfDqT8SGibm222AtW5/view?usp=drive_link,8076582,application/pdf,Revised
Service Agreement_LAP TSR_A M Hirekotresh_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1PdB7iO2I7Y5Y5Vet7LIROrAQbANAjnt0/view?usp=drive_link,1425696,application/pdf,Revised
Addendum 7_Mymoneymantra_FTSPL_Signed.pdf,https://drive.google.com/file/d/1W0AM6D_DXIgUmFCoXPJD7MHodkJsdatj/view?usp=drive_link,2834015,application/pdf,Revised
Service Agreement_LAP_TSR_Shreyas D_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1tkyyiY89SrSeTsi4E0xSHGak_i4u5q_q/view?usp=drive_link,2084038,application/pdf,Revised
Digital Lending Services Agreement_Angel One_KBNBFC_Signed..pdf,https://drive.google.com/file/d/1Vf6ZjWBDS1ZV7JW5RHrF03XQ70OnfydD/view?usp=drive_link,1638477,application/pdf,Revised
Collection Agreement_Mobikwik_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1W7nU8miuL8BeBRcAzIjDNKdiBtVx_-gN/view?usp=drive_link,20196796,application/pdf,Revised
MSA_KBNBFC_Snowflake_Signed.pdf,https://drive.google.com/file/d/10G8ocORLpJfsPSuCts_koDwSVGUWJ5G2/view?usp=drive_link,1066572,application/pdf,Revised
Order Form_Snowflake_KBNBFC_AWS Marketplace_Order Form_Signed.pdf,https://drive.google.com/file/d/1taXlAbODMEWWsTUDgVQZrSqiFtKUd82e/view?usp=drive_link,462655,application/pdf,Revised
Addendum 1_Alfa Risk Managers_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1yQyCyEjh0uJRAOhXMrpboD-fwhiGsZQv/view?usp=drive_link,4671644,application/pdf,Revised
Rental Agreement_LAP_Anjana Murthy_Nelamangala_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1ZzZf-xOj9tizUJ7slSOv4y-Gm2uFMOVv/view?usp=drive_link,461651,application/pdf,Revised
Addendum 1_LAP Verification_KBNBFC_Candour Consultants_Signed.pdf,https://drive.google.com/file/d/1q-EvP_iVx2FF3lVtbgaiQrrdMr-Do4K-/view?usp=drive_link,8620205,application/pdf,Revised
Addendum 10_Finance Buddha_FTSPL_Signed.pdf,https://drive.google.com/file/d/1KYk5tv-YxA2UCkj8cxh3BFpLHjxpoHQA/view?usp=drive_link,743176,application/pdf,Revised
Addendum 1_LAP_Verification_Shri Sai Associate_KBNBFC_Signed.pdf,https://drive.google.com/file/d/11w64-nb6wf4AShXPWZVRFxuy0844F9uw/view?usp=drive_link,4627012,application/pdf,Revised
Addendum 1_Niro_QFI TECH_FTSPL_Signed.pdf,https://drive.google.com/file/d/1lIEml_APDFqZPP-YkcNFIPOo113Dcj6I/view?usp=drive_link,527207,application/pdf,Revised
Service Agreement_LAP_TSR_Nithesh Kumar Aerram_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1KMixFNRcuTZOO36vmJy8pSjioE_rKQmO/view?usp=drive_link,5696664,application/pdf,Revised
Addendum 8_Digitmoney_FTSPL_Signed.pdf,https://drive.google.com/file/d/1mqfnuN5Pxu0CYpScjiZrkpQfixmea8WI/view?usp=drive_link,355118,application/pdf,Revised
MSA Social Donut - Finnovation.pdf,https://drive.google.com/file/d/1mAGl1NRGasWVqNHFzWEVADHx_vzvKyqE/view?usp=drive_link,709879,application/pdf,Revised
Amendment 1_Imagekit_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1YvJBZ5wBRYSNt_Ip9-ysylbh2JAqaLDX/view?usp=drive_link,398530,application/pdf,Revised
Service Agreement_LAP_KBNBFC_M V L Prasad_Prasad Associates_Valuation_Signed.pdf,https://drive.google.com/file/d/1gRJstBVZOlq4tzflrmsZKz-KGtgTMzyl/view?usp=drive_link,30978205,application/pdf,Revised
Service Agreement_LAP_Verification_KBNBFC_Savvy Associate_EV_05022025..pdf,https://drive.google.com/file/d/15H9L4GehsPiVlo0baK7MPu-oGw4pe9-x/view?usp=drive_link,7187848,application/pdf,Revised
DSA Agreement_LAP Offline_Kalpana KR_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1fXiiCS6xgdYhFR297BhtNZ394YzydQKY/view?usp=drive_link,1753756,application/pdf,Revised
Payment Technology Services Agreement – PhonePe_KB_FTSPL.pdf,https://drive.google.com/file/d/1fNSekQGYw-9p1RyysUwda-oVO9_-zSjv/view?usp=drive_link,1240317,application/pdf,Revised
Addendum 1_Drone Management_KBNBFC_Signed..pdf,https://drive.google.com/file/d/1lMCRh1r1ioJNWAD-Ww6KmZyCbNZ-pRNf/view?usp=drive_link,533608,application/pdf,Revised
Addendum 1_Om Shree Sai Associates_KBNBFC_Signed..pdf,https://drive.google.com/file/d/1HmRJszSUqcaSP_srdbeZ3TduaFn769xZ/view?usp=drive_link,552373,application/pdf,Revised
Addendum 2_Dignity Enterprise_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1AyOtQtX07MlUSeOFzPa7aIViYxDr84pc/view?usp=drive_link,555018,application/pdf,Revised
Second Amendment_Mirae_KB_FTSPL _2.pdf,https://drive.google.com/file/d/1fVf7Nkhw-6K7Pa2ZtAQMfvr9dQw6gauD/view?usp=drive_link,1255207,application/pdf,Revised
Dealer Agreement_Lakshamruth_KBNBFC.pdf,https://drive.google.com/file/d/11oSJu0Quo1avRI-3NBE6S9xTzvTnzBEz/view?usp=drive_link,7984466,application/pdf,Revised
Digital Services Agreement_Equinix_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1KDnAMxuJhk1KRJXE38Ppr1VD-oKYeC73/view?usp=drive_link,669291,application/pdf,Revised
MSA Advertising_FTSPL-AppExcel EV signed 3.pdf,https://drive.google.com/file/d/1vkRVQxWLQvdUCYJNnleiBKxQP_O5Kmyx/view?usp=drive_link,1926485,application/pdf,Revised
Dealer Agreement_Kalyani Motors_KBNBFC.pdf,https://drive.google.com/file/d/1M1Qt9KmKyGqo7XpJAyhOiRlrJUKPYdAa/view?usp=drive_link,1632902,application/pdf,Revised
Dealer Agreement_Value Motor_KBNBFC.pdf,https://drive.google.com/file/d/1KaqUuo1lgbFez3D1TYtquY7jdxuvRScy/view?usp=drive_link,4375558,application/pdf,Revised
Addendum 3_KBNBFC_CreditMantri_Signed.pdf,https://drive.google.com/file/d/1SdkBYEm-Mi_cJiUQ2xXooIlnfRsIR7SE/view?usp=drive_link,435288,application/pdf,Revised
SOW 02 FTSPL-Mobavenue (KreditBee) - signed.pdf,https://drive.google.com/file/d/1xM8tEt7SgrtMdDqECG7gE5CBmQ6ioQgz/view?usp=drive_link,571411,application/pdf,Revised
SOW 02 KSPL-Mobavenue  - signed.pdf,https://drive.google.com/file/d/127zFQ-xJPFkCm7d6vokGQAa2VkW--fno/view?usp=drive_link,581319,application/pdf,Revised
Master Subscription Agreement_ZOHO_FTSPL_Signed.pdf,https://drive.google.com/file/d/1WeOU_jVQjXNVoatQ6LRkfwrTvIextWEI/view?usp=drive_link,1911418,application/pdf,Revised
MSA - Advertising_FTSPL-ADCanopus EV_Signed_Signed_Signed.pdf,https://drive.google.com/file/d/1Kyq5lmPrNzSVVD14CGFKTWTREbP6cJ7G/view?usp=drive_link,647912,application/pdf,Revised
MSA_Advertising_FTSPL-NetSetGo EV (1).pdf,https://drive.google.com/file/d/1UzBEd6bbV7wQyAFnExG9qBfY-xFcl2Rg/view?usp=drive_link,1616243,application/pdf,Revised
MSA Advertising_FTSPL-Adsphire EV.pdf,https://drive.google.com/file/d/10AC9xAmnk3ekuzWKPGGePX4H9uj2OKKb/view?usp=drive_link,4930863,application/pdf,Revised
Master_Agreement_Advertising_FTSPL-Applabs EV-2.pdf,https://drive.google.com/file/d/1bfPHtTIyl5I2ktyQVgglJwr1F-QQnjIW/view?usp=drive_link,604616,application/pdf,Revised
Dealer Agreement_Affine Automotive_KBNBFC.pdf,https://drive.google.com/file/d/15Rs544dFH7dGx0BvTsxps4HE22ZBqF_w/view?usp=drive_link,5658670,application/pdf,Revised
MSA_Advertising_FTSPL-Prismatix EV.pdf,https://drive.google.com/file/d/1RWuVbJsHV98q5IXDNsMh8YxXBP3q4RAI/view?usp=drive_link,1496228,application/pdf,Revised
Dealer Agreement_Speed Motors_KBNBFC.pdf,https://drive.google.com/file/d/1RnZJzp3XL_NPBs3NW465efB1gD9odr8V/view?usp=drive_link,2416068,application/pdf,Revised
ELA ORDER FORM_KBNBFC_FIVETRAN_Signed.pdf,https://drive.google.com/file/d/1pluwfpJSxh0JiszBzv_qlPfNvNFQLN1m/view?usp=drive_link,522316,application/pdf,Revised
DSA Agreement_LAP_Individual_Offline_Padmanaban B_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1KLmaCdUQFjI5B3cO9FhuTdtJUqNeq9Kr/view?usp=drive_link,1732764,application/pdf,Revised
DSA Agreement_LAP_Individual_Offline_Dhana Sekar S_KBNBFC_Signed.pdf,https://drive.google.com/file/d/1kRJww9LVSQRmhWV0ziRKe78RQcTEo6Ta/view?usp=drive_link,1896189,application/pdf,Revised
Addendum 3_Vitrak_FTSPL_Signed.pdf,https://drive.google.com/file/d/1TVFr2LcDCzdppAFwAS3CsKvYBQ-DFmu3/view?usp=drive_link,2782502,application/pdf,Revised
Rental Agreement_LAP_KBNBFC_Shantha A S_Davanagere_Signed.pdf,https://drive.google.com/file/d/17vL1ewpNk4qB_c5wOhfSp37820LqDm24/view?usp=drive_link,508203,application/pdf,Revised
Dealer Agreement_Garuda_KBNBFC.pdf,https://drive.google.com/file/d/1deZQdVIwB7jhbWJoyf6jKqE8jRf_vfqY/view?usp=drive_link,887242,application/pdf,Revised
Dealer Agreement_Lakshmivenkateshwara_KBNBFC.pdf,https://drive.google.com/file/d/1LBTnC3ftNDQK79WVD90qiQVWQkkk7i93/view?usp=drive_link,1299927,application/pdf,Revised
Master Subscription Agreement_Fivetran_KBNBFC_Partially Signed.pdf,https://drive.google.com/file/d/1PBSS0HTAyVrcssjYJj6mfGbXTxxY6DDf/view?usp=drive_link,379235,application/pdf,Revised
Addendum 6_FTSPL_MMM_Signed.pdf,https://drive.google.com/file/d/1xHHsPTO3Fp6O5Ssbwga8LLClPt2KeUmR/view?usp=drive_link,1435781,application/pdf,Revised
Addendum 3_KBNBFC_RKPL_Signed.pdf,https://drive.google.com/file/d/1rO-fu2XDiGMRL1vTd5NEetdVUslFD_h3/view?usp=drive_link,1617093,application/pdf,Revised
Business Sourcing Agreement_Offline Referral_Instant IT Technology_KBNBFC_Signed.pdf,https://drive.google.com/file/d/13n6H3K4qb1RmXMLRF1e7PlgEbsgavekb/view?usp=drive_link,2507895,application/pdf,Revised
